YEAR,MES,DIA,HORA,MINUTO,Temperatura,Humedad_Relativa,Presion_hPa
2008,1,11,23,0,25.3,94.8,1010.245
2008,1,12,0,0,25.3,94.7,1010.709
2008,1,12,1,0,25.4,94.6,1011.176
2008,1,12,2,0,25.4,94.5,1011.598
2008,1,12,3,0,25.3,94.6,1011.551
2008,1,12,4,0,25.3,94.7,1011.273
2008,1,12,5,0,25.2,94.8,1010.983
2008,1,12,6,0,25.1,95.1,1010.666
2008,1,12,7,0,25,95,1010.632
2008,1,12,8,0,25,95.1,1010.648
2008,1,12,9,0,25,95,1010.847
2008,1,12,10,0,24.9,95.2,1011.262
2008,1,12,11,0,24.9,95.3,1011.443
2008,1,12,12,0,24.9,95.2,1011.931
2008,1,12,13,0,25,95.2,1013.007
2008,1,12,14,0,24.7,96.1,1013.416
2008,1,12,15,0,24.8,96.2,1013.306
2008,1,12,16,0,24.9,96.1,1012.686
2008,1,12,17,0,25.1,95.9,1011.866
2008,1,12,18,0,25,96,1010.962
2008,1,12,19,0,25,96.2,1010.049
2008,1,12,20,0,25,96.3,1009.403
2008,1,12,21,0,25,96.3,1009.4
2008,1,12,22,0,25.2,96,1009.318
2008,1,12,23,0,25.3,95.9,1010.002
2008,1,13,0,0,25.3,95.8,1009.967
2008,1,13,1,0,25.4,95.8,1010.542
2008,1,13,2,0,25.4,95.8,1010.902
2008,1,13,3,0,25.4,95.8,1011.104
2008,1,13,4,0,25.4,95.9,1011.01
2008,1,13,5,0,25.3,95.9,1010.905
2008,1,13,6,0,25.1,96.2,1010.31
2008,1,13,7,0,24.6,96.7,1009.902
2008,1,13,8,0,24.6,96.8,1009.838
2008,1,13,9,0,24.9,96.1,1009.786
2008,1,13,10,0,25,95.9,1010.126
2008,1,13,11,0,24.6,96.8,1010.709
2008,1,13,12,0,24.5,97.1,1011.474
2008,1,13,13,0,24.8,96.6,1012.379
2008,1,13,14,0,24.9,96.5,1012.766
2008,1,13,15,0,24.9,96.7,1012.709
2008,1,13,16,0,25,96.5,1012.92
2008,1,13,17,0,25.2,95.9,1011.829
2008,1,13,18,0,25.3,96.1,1010.949
2008,1,13,19,0,25.1,96.6,1009.991
2008,1,13,20,0,25.1,96.6,1009.473
2008,1,13,21,0,25.1,96.8,1009.384
2008,1,13,22,0,25.2,96.9,1009.989
2008,1,13,23,0,25.2,96.9,1010.418
2008,1,14,0,0,25.3,96.8,1010.913
2008,1,14,1,0,25.4,96.6,1011.751
2008,1,14,2,0,25.4,96.6,1012.428
2008,1,14,3,0,25.3,96.9,1012.389
2008,1,14,4,0,25.2,97.1,1012.219
2008,1,14,5,0,25.1,97.2,1012.208
2008,1,14,6,0,25,97.3,1011.914
2008,1,14,7,0,24.9,97.5,1011.181
2008,1,14,8,0,24.9,97.5,1011.118
2008,1,14,9,0,24.9,97.4,1010.746
2008,1,14,10,0,25.3,96,1011.493
2008,1,14,11,0,25.3,96.1,1011.78
2008,1,14,12,0,25.3,96.3,1012.902
2008,1,14,13,0,25.4,96.2,1013.409
2008,1,14,14,0,25.6,96.4,1013.678
2008,1,14,15,0,25.7,96.3,1013.671
2008,1,14,16,0,25.8,96.3,1013.018
2008,1,14,17,0,25.7,96.5,1012.506
2008,1,14,18,0,25.7,96.6,1011.386
2008,1,14,19,0,25.6,96.7,1010.28
2008,1,14,20,0,25.5,96.8,1009.521
2008,1,14,21,0,25.6,96.8,1009.731
2008,1,14,22,0,25.4,97.1,1009.681
2008,1,14,23,0,25.4,97.1,1009.775
2008,1,15,0,0,25.4,97,1010.347
2008,1,15,1,0,25.5,96.9,1010.96
2008,1,15,2,0,25.5,96.9,1011.607
2008,1,15,3,0,25.4,97,1011.861
2008,1,15,4,0,25.4,97.2,1011.688
2008,1,15,5,0,25.4,97.2,1011.538
2008,1,15,6,0,25.3,97.2,1010.948
2008,1,15,7,0,25.2,97.3,1010.454
2008,1,15,8,0,25.1,97.4,1009.962
2008,1,15,9,0,24.8,97.7,1010.192
2008,1,15,10,0,24.4,97.8,1010.724
2008,1,15,11,0,24.4,97.7,1011.071
2008,1,15,12,0,24.5,97.4,1011.935
2008,1,15,13,0,24.8,96.8,1012.518
2008,1,15,14,0,24.9,96.7,1012.763
2008,1,15,15,0,25,96.5,1012.879
2008,1,15,16,0,25,96.7,1012.191
2008,1,15,17,0,25.1,96.7,1011.568
2008,1,15,18,0,25,96.8,1010.662
2008,1,15,19,0,25.2,96.7,1009.628
2008,1,15,20,0,25.2,96.7,1008.992
2008,1,15,21,0,25.3,96.7,1008.966
2008,1,15,22,0,25.1,97.3,1009.396
2008,1,15,23,0,25.2,97.2,1009.81
2008,1,16,0,0,25.3,97.1,1010.229
2008,1,16,1,0,25.4,97,1010.836
2008,1,16,2,0,25.4,97,1011.226
2008,1,16,3,0,25.4,97.1,1011.813
2008,1,16,4,0,25.2,97.5,1011.427
2008,1,16,5,0,25,97.7,1011.175
2008,1,16,6,0,25,97.7,1010.517
2008,1,16,7,0,24.9,97.7,1010.204
2008,1,16,8,0,24.8,97.8,1010.011
2008,1,16,9,0,24.8,97.8,1010.068
2008,1,16,10,0,24.8,97.9,1010.359
2008,1,16,11,0,24.7,97.7,1011.021
